Epoch: 0, Subepoch: 620, Loss: 0.639269, Valloss: 0.618789, batch_size: 63, acc: 0.666667, valacc: 0.666667
Epoch: 0, Subepoch: 630, Loss: 0.568404, Valloss: 0.637073, batch_size: 64, acc: 0.746032, valacc: 0.625000
Epoch: 0, Subepoch: 640, Loss: 0.633690, Valloss: 0.562272, batch_size: 64, acc: 0.656250, valacc: 0.781250
Epoch: 0, Subepoch: 650, Loss: 0.617197, Valloss: 0.640123, batch_size: 64, acc: 0.714286, valacc: 0.656250
Epoch: 0, Subepoch: 660, Loss: 0.567353, Valloss: 0.591908, batch_size: 64, acc: 0.761905, valacc: 0.703125
Epoch: 0, Subepoch: 670, Loss: 0.556809, Valloss: 0.619347, batch_size: 64, acc: 0.750000, valacc: 0.687500
Epoch: 0, Subepoch: 680, Loss: 0.635047, Valloss: 0.619128, batch_size: 64, acc: 0.625000, valacc: 0.640625
Epoch: 0, Subepoch: 690, Loss: 0.601850, Valloss: 0.593685, batch_size: 64, acc: 0.671875, valacc: 0.718750
Epoch: 0, Subepoch: 700, Loss: 0.676673, Valloss: 0.631292, batch_size: 63, acc: 0.531250, valacc: 0.698413
Epoch: 0, Subepoch: 710, Loss: 0.616419, Valloss: 0.614975, batch_size: 64, acc: 0.671875, valacc: 0.671875
Epoch: 0, Subepoch: 720, Loss: 0.638886, Valloss: 0.581174, batch_size: 64, acc: 0.593750, valacc: 0.703125
Epoch: 0, Subepoch: 730, Loss: 0.581700, Valloss: 0.659858, batch_size: 64, acc: 0.765625, valacc: 0.609375
Epoch: 0, Subepoch: 740, Loss: 0.609523, Valloss: 0.644414, batch_size: 63, acc: 0.640625, valacc: 0.587302
Epoch: 0, Subepoch: 750, Loss: 0.568894, Valloss: 0.648306, batch_size: 64, acc: 0.718750, valacc: 0.625000
Epoch: 0, Subepoch: 760, Loss: 0.603108, Valloss: 0.622992, batch_size: 64, acc: 0.656250, valacc: 0.671875
Epoch: 0, Subepoch: 770, Loss: 0.541376, Valloss: 0.594408, batch_size: 64, acc: 0.750000, valacc: 0.734375
Epoch: 0, Subepoch: 780, Loss: 0.588236, Valloss: 0.592250, batch_size: 64, acc: 0.682540, valacc: 0.718750
Epoch: 0, Subepoch: 790, Loss: 0.554997, Valloss: 0.519861, batch_size: 64, acc: 0.777778, valacc: 0.781250
Epoch: 0, Subepoch: 800, Loss: 0.611965, Valloss: 0.616083, batch_size: 64, acc: 0.666667, valacc: 0.656250
Epoch: 0, Subepoch: 810, Loss: 0.614995, Valloss: 0.638673, batch_size: 64, acc: 0.650794, valacc: 0.625000
Epoch: 0, Subepoch: 820, Loss: 0.559460, Valloss: 0.639123, batch_size: 63, acc: 0.765625, valacc: 0.634921
Epoch: 0, Subepoch: 830, Loss: 0.633344, Valloss: 0.636346, batch_size: 64, acc: 0.609375, valacc: 0.687500
Epoch: 0, Subepoch: 840, Loss: 0.599629, Valloss: 0.578609, batch_size: 64, acc: 0.687500, valacc: 0.765625
Epoch: 0, Subepoch: 850, Loss: 0.599267, Valloss: 0.609762, batch_size: 64, acc: 0.666667, valacc: 0.671875
Epoch: 0, Subepoch: 860, Loss: 0.620012, Valloss: 0.626827, batch_size: 64, acc: 0.640625, valacc: 0.609375
Epoch: 0, Subepoch: 870, Loss: 0.584748, Valloss: 0.606330, batch_size: 64, acc: 0.703125, valacc: 0.687500
Epoch: 0, Subepoch: 880, Loss: 0.629390, Valloss: 0.601219, batch_size: 64, acc: 0.625000, valacc: 0.718750
Epoch: 0, Subepoch: 890, Loss: 0.589494, Valloss: 0.647152, batch_size: 64, acc: 0.765625, valacc: 0.625000
Epoch: 0, Subepoch: 900, Loss: 0.633622, Valloss: 0.592809, batch_size: 64, acc: 0.609375, valacc: 0.656250
Epoch: 0, Subepoch: 910, Loss: 0.601406, Valloss: 0.577146, batch_size: 64, acc: 0.687500, valacc: 0.703125
Epoch: 0, Subepoch: 920, Loss: 0.609222, Valloss: 0.597072, batch_size: 64, acc: 0.656250, valacc: 0.656250
Epoch: 0, Subepoch: 930, Loss: 0.536102, Valloss: 0.592552, batch_size: 64, acc: 0.796875, valacc: 0.718750
Epoch: 0, Subepoch: 940, Loss: 0.578015, Valloss: 0.607691, batch_size: 64, acc: 0.703125, valacc: 0.687500
Epoch: 0, Subepoch: 950, Loss: 0.527554, Valloss: 0.563015, batch_size: 64, acc: 0.793651, valacc: 0.750000
Epoch: 0, Subepoch: 960, Loss: 0.613533, Valloss: 0.566377, batch_size: 64, acc: 0.698413, valacc: 0.718750
Epoch: 0, Subepoch: 970, Loss: 0.612574, Valloss: 0.637506, batch_size: 64, acc: 0.671875, valacc: 0.687500
Epoch: 0, Subepoch: 980, Loss: 0.574383, Valloss: 0.590757, batch_size: 64, acc: 0.765625, valacc: 0.703125
Epoch: 0, Subepoch: 990, Loss: 0.628178, Valloss: 0.625391, batch_size: 64, acc: 0.609375, valacc: 0.640625
Epoch: 0, Subepoch: 1000, Loss: 0.596080, Valloss: 0.647458, batch_size: 64, acc: 0.703125, valacc: 0.671875
Epoch: 0, Subepoch: 1010, Loss: 0.605764, Valloss: 0.617830, batch_size: 64, acc: 0.703125, valacc: 0.703125
Epoch: 0, Subepoch: 1020, Loss: 0.605963, Valloss: 0.618296, batch_size: 64, acc: 0.703125, valacc: 0.703125
Epoch: 0, Subepoch: 1030, Loss: 0.542694, Valloss: 0.543990, batch_size: 64, acc: 0.796875, valacc: 0.765625
Epoch: 0, Subepoch: 1040, Loss: 0.600227, Valloss: 0.602793, batch_size: 64, acc: 0.703125, valacc: 0.671875
